"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeCarousel\MainCarousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 5, 49
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeCarousel\MainCarouselData.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeSectionCard\HomeSectionCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\HomeSectionCarousel\HomeSectionCarousel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 79, 1, 9, 89
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Pages\HomePage\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 4, 46
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\CheckboxComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 1, 25
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\PriceFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 101, 105, 22, 228
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\Product.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 519, 15, 37, 571
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\ProductCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 54, 32, 13, 99
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\Temp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 449, 11, 35, 495
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\Test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\UniqueFilters.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\UniqueFiltersComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 1, 3, 52
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\example.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 103, 2, 9, 114
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\Product\filterData.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 39, 7, 70
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\address-card\AddressCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\cart\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 106, 5, 12, 123
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\cart\CartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 9, 87
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\AddressForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 227, 0, 3, 230
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\Checkout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 9, 80
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\DeliveryAddressForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 4, 143
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\checkout\OrderSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 99, 4, 10, 113
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\navigation\Navigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 654, 17, 34, 705
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\Order.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 4, 49
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\OrderCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 5, 57
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\OrderDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 5, 60
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\order\OrderTaker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\customer\components\productDetails\ProductDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 234, 41, 18, 293
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\data\brakes\Brakes.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 0, 1, 169
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\data\parts\Parts.js", "JavaScript", 650, 0, 0, 0, 0, 0, 0, 0, 1, 651
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\index.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 3, 4, 25
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\routers\CustomerRouters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 3, 36
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\src\styles.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\chris\Documents\GitHub\Java-Projects\Spring\O-Reilly-2.0\tailwind.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 0, 17
"Total", "-", 1680, 20483, 122, 103, 20, 1, 3778, 361, 447, 26995
